,Name,Category,Body,Compound,Positive,Negative,Neutral
25,Hornby,Toy,Five Stars ,0.0,0.0,1.0,0.0
26,Hornby,Toy,Five Stars ,0.0,0.0,1.0,0.0
27,Hornby,Toy,Five Stars ,0.0,0.0,1.0,0.0
28,Hornby,Toy,Five Stars ,0.0,0.0,1.0,0.0
29,Hornby,Toy,john burns ,0.0,0.0,1.0,0.0
30,Hornby,Toy,"A superb model, incorporates a stunning amount of fine detail. ",0.8176,0.63,0.37,0.0
31,Hornby,Toy,... a suppurb addion to any train set n kids love hanging mail bags on the hook that the coach ... ,0.6369,0.189,0.811,0.0
32,Hornby,Toy,train set ,0.0,0.0,1.0,0.0
33,Hornby,Toy,Good model for a collection ,0.4404,0.492,0.508,0.0
34,Hornby,Toy,Runs well... need some mock passengers in ... ,-0.4215,0.0,0.714,0.286
35,Hornby,Toy,Arrived as expected and worked fine straight out of the box ,0.4019,0.291,0.709,0.0
36,Corgi,Toy,Fantastic detail! A beautiful model traction engine ,0.8313,0.661,0.339,0.0
37,Hornby,Toy,good clean model. ,0.6808,0.848,0.152,0.0
38,Hornby,Toy,"a good buy, thanks ",0.7003,0.853,0.147,0.0
39,Hornby,Toy,Excellent detail. ,0.5719,0.787,0.213,0.0
40,Hornby,Toy,Great value intro set ,0.7579,0.765,0.235,0.0
41,Hornby,Toy,Brilliant Brighton Belle ,0.5859,0.655,0.345,0.0
42,Corgi,Toy,Beautiful ,0.5994,1.0,0.0,0.0
43,Hornby,Toy,Five Stars ,0.0,0.0,1.0,0.0
44,Hornby,Toy,Five Stars ,0.0,0.0,1.0,0.0
45,Hornby,Toy,Five Stars ,0.0,0.0,1.0,0.0
46,Corgi,Toy,A quality scale model - not a toy! ,0.0,0.0,1.0,0.0
47,Hornby,Toy,Replacement Fine ,0.2023,0.643,0.357,0.0
48,Hornby,Toy,Please check the picture ,0.3182,0.434,0.566,0.0
49,Hornby,Toy,Great train set good value for money ,0.8555,0.701,0.299,0.0
50,Hornby,Toy,GREAT ,0.6249,1.0,0.0,0.0
51,Hornby,Toy,Providing luxury Pullman rail travel for the rich and privileged from the 1930's to 1972 (after which they'd have to travel in . ,0.7579,0.245,0.755,0.0
52,Hornby,Toy,I love it ,0.6369,0.808,0.192,0.0
53,Hornby,Toy,Olympic train set ,0.0,0.0,1.0,0.0
54,Hornby,Toy,Gift for a train enthuist. ,0.4404,0.492,0.508,0.0
55,Hornby,Toy,Five Stars ,0.0,0.0,1.0,0.0
56,Hornby,Toy,Four Stars ,0.0,0.0,1.0,0.0
57,Hornby,Toy,Amazing Quality ,0.5859,0.792,0.208,0.0
58,Hornby,Toy,Re. Tizz review. ,0.0,0.0,1.0,0.0
59,Hornby,Toy,Five Stars ,0.0,0.0,1.0,0.0
60,Hornby,Toy,Runs well.... need some mock passengers ... ,-0.4215,0.0,0.682,0.318
61,Hornby,Toy,Just as expected ,0.0,0.0,1.0,0.0
62,Star Wars,Equipment,great star wars toy ,0.128,0.423,0.206,0.371
63,Disney,Equipment,my grandson will love it ,0.6369,0.512,0.488,0.0
64,Disney,Equipment,Super cute and cushiony! ,0.8016,0.782,0.218,0.0
65,Disney,Equipment,Five Stars ,0.0,0.0,1.0,0.0
66,PokÃƒÂ©mon,Equipment,Five Stars ,0.0,0.0,1.0,0.0
67,Disney,Equipment,Love my Toy Story alien ,0.6369,0.512,0.488,0.0
68,Hasbro,Equipment,My four year old LOVES this ,0.6633,0.47,0.53,0.0
69,Disney,Equipment,Decent value for money. ,0.34,0.444,0.556,0.0
70,Hasbro,Equipment,Concentration Please!! ,0.4374,0.743,0.257,0.0
71,Amscan,Toy,Ok for the price. ,0.296,0.423,0.577,0.0
72,Amscan,Toy,Five Stars ,0.0,0.0,1.0,0.0
73,Hasbro,Equipment,"Yahtzee - ancient game, new frame ",0.0,0.0,1.0,0.0
74,Star Wars,Equipment,This is a great advent calendar with a couple of totally exclusive figures ... ,0.7089,0.371,0.629,0.0
75,LEGO,Equipment,Fun to build ,0.5106,0.623,0.377,0.0
76,Disney,Equipment,Great buy ,0.6249,0.804,0.196,0.0
77,LEGO,Equipment,brilliant ,0.5859,1.0,0.0,0.0
78,Star Wars,Equipment,"Pricey, but worth the money ",0.3291,0.37,0.63,0.0
79,Playmobil,Toy,christmas calender ,0.0,0.0,1.0,0.0
80,LEGO,Equipment,Worth the extra cost ,0.2263,0.388,0.612,0.0
81,Playmobil,Toy,Great alternative to a chocolate calendar! ,0.6588,0.523,0.477,0.0
82,Star Wars,Equipment,Darth Vader Santa! ,0.0,0.0,1.0,0.0
83,Disney,Equipment,Good but not great quality ,-0.5409,0.208,0.319,0.473
84,Playmobil,Toy,The content is worth more than what you pay for it ,0.128,0.154,0.732,0.114
85,Playmobil,Toy,Overall a good choice ,0.4404,0.592,0.408,0.0
86,Mattel,Toy,Five Stars ,0.0,0.0,1.0,0.0
87,Mattel,Toy,Five Stars ,0.0,0.0,1.0,0.0
88,Corgi,Toy,Good collectable ,0.4404,0.744,0.256,0.0
89,Oxford Diecast,Toy,diecast model ,0.0,0.0,1.0,0.0
90,Corgi,Toy,Part of collection ,0.0,0.0,1.0,0.0
91,Mattel,Toy,Splendid ,0.5859,1.0,0.0,0.0
92,Corgi,Toy,Five Stars ,0.0,0.0,1.0,0.0
93,Oxford Diecast,Toy,Five Stars ,0.0,0.0,1.0,0.0
94,Mattel,Toy,Not the usual reason for purchasing a toy ,0.0,0.0,1.0,0.0
95,Oxford Diecast,Toy,Excellent value ,0.7269,1.0,0.0,0.0
96,Oxford Diecast,Toy,Five Stars ,0.0,0.0,1.0,0.0
97,Oxford Diecast,Toy,Great detail considering the scale... just what I wanted ,0.6249,0.369,0.631,0.0
98,Corgi,Toy,Five Stars ,0.0,0.0,1.0,0.0
99,Corgi,Toy,Five Stars ,0.0,0.0,1.0,0.0
100,Oxford Diecast,Toy,Four Stars ,0.0,0.0,1.0,0.0
101,Corgi,Toy,A Nice Little Model ,0.4215,0.583,0.417,0.0
102,Oxford Diecast,Toy,Five Stars ,0.0,0.0,1.0,0.0
103,Corgi,Toy,Stunning model ,0.3818,0.722,0.278,0.0
104,Disney,Toy,Excellent ,0.5719,1.0,0.0,0.0
105,Corgi,Toy,Chunky motor ,0.0,0.0,1.0,0.0
106,Corgi,Toy,Great buy ,0.6249,0.804,0.196,0.0
107,Oxford Diecast,Toy,Really small but really cute! ,0.6938,0.542,0.458,0.0
108,Mattel,Toy,Five Stars ,0.0,0.0,1.0,0.0
109,Mattel,Toy,Gold Ramone rocks! ,0.0,0.0,1.0,0.0
110,Oxford Diecast,Toy,Two Stars ,0.0,0.0,1.0,0.0
111,Oxford Diecast,Toy,Five Stars ,0.0,0.0,1.0,0.0
112,Oxford Diecast,Toy,Oxford Ford Pop. ,0.0,0.0,1.0,0.0
113,Oxford Diecast,Toy,Five Stars ,0.0,0.0,1.0,0.0
114,Oxford Diecast,Toy,Five Stars ,0.0,0.0,1.0,0.0
115,Oxford Diecast,Toy,Five Stars ,0.0,0.0,1.0,0.0
116,Corgi,Toy,corgi the new mini cooper red diecast model 1.36 scale ,0.0,0.0,1.0,0.0
117,Corgi,Toy,Truck ,0.0,0.0,1.0,0.0
118,Mattel,Toy,"This is a beautiful model, detailed ",0.5994,0.494,0.506,0.0
119,Oxford Diecast,Toy,Five Stars ,0.0,0.0,1.0,0.0
120,Oxford Diecast,Toy,Fantastic lorry. ,0.5574,0.783,0.217,0.0
121,Oxford Diecast,Toy,Five Stars ,0.0,0.0,1.0,0.0
122,Corgi,Toy,Green Goddess ,0.0,0.0,1.0,0.0
123,Oxford Diecast,Toy,Miniature marvelousness ,0.0,0.0,1.0,0.0
124,Oxford Diecast,Toy,Five Stars ,0.0,0.0,1.0,0.0
125,Corgi,Toy,Collectors Dream ,0.25,0.667,0.333,0.0
126,Disney,Toy,perfect for a keen 4yr old Cars fan ,0.8176,0.68,0.32,0.0
127,Corgi,Toy,Great service ,0.6249,0.804,0.196,0.0
128,Oxford Diecast,Toy,Five Stars ,0.0,0.0,1.0,0.0
129,Disney,Toy,My son is crazy for his Disney Cars collection ,-0.34,0.0,0.769,0.231
130,Corgi,Toy,I love collecting London 2012 London taxis ,0.6369,0.457,0.543,0.0
131,Corgi,Toy,Nostalgia in a box ,0.0,0.0,1.0,0.0
132,Oxford Diecast,Toy,Five Stars ,0.0,0.0,1.0,0.0
133,Oxford Diecast,Toy,Five Stars ,0.0,0.0,1.0,0.0
134,Mattel,Toy,great little car ,0.6249,0.672,0.328,0.0
135,Oxford Diecast,Toy,Five Stars ,0.0,0.0,1.0,0.0
136,Oxford Diecast,Toy,Good value though ,0.6486,0.841,0.159,0.0
137,Oxford Diecast,Toy,Five Stars ,0.0,0.0,1.0,0.0
138,Oxford Diecast,Toy,Lovely model! ,0.6239,0.804,0.196,0.0
139,Oxford Diecast,Toy,Just Married model car. ,0.0,0.0,1.0,0.0
140,Oxford Diecast,Toy,Four Stars ,0.0,0.0,1.0,0.0
141,Schleich,Toy,beautiful fantasy creature ,0.5994,0.661,0.339,0.0
142,Hasbro,Equipment,... present for a 9 year old and he absolutely loved it! All attachments are very secure and it ... ,0.8511,0.382,0.618,0.0
143,Hasbro,Equipment,"""All troops will deploy for HALO drop!"" ",0.0,0.0,1.0,0.0
144,Playmobil,Toy,We'd been waiting for the Fairy sets to become more widely available and were not disappointed when we finally got some ,0.3724,0.113,0.887,0.0
145,Hasbro,Equipment,Great toy... ,0.6249,0.804,0.196,0.0
146,Mattel,Toy,It's Superbrat! ,0.0,0.0,1.0,0.0
147,Mattel,Toy,Bendy! ,0.0,0.0,1.0,0.0
148,Hasbro,Equipment,Whirl review ,0.0,0.0,1.0,0.0
149,PokÃƒÂ©mon,Equipment,Super Product ,0.5994,0.796,0.204,0.0
150,Star Wars,Equipment,TVC Battle Droid ,-0.3818,0.0,0.435,0.565
151,Hasbro,Equipment,Good product ,0.4404,0.744,0.256,0.0
152,Disney,Equipment,My busy books ,0.0,0.0,1.0,0.0
153,Hasbro,Equipment,"""They are no match for Droidekas."" ",-0.296,0.0,0.694,0.306
154,Hasbro,Equipment,"""You've never heard of the Millennium Falcon!"" ",0.0,0.0,1.0,0.0
155,Star Wars,Equipment,"""Move the Separatist leaders to the Mustafar system."" ",0.0,0.0,1.0,0.0
156,Playmobil,Toy,Good fun ,0.7351,1.0,0.0,0.0
157,Star Wars,Toy,Great figure ,0.6249,0.804,0.196,0.0
158,Star Wars,Equipment,Five Stars ,0.0,0.0,1.0,0.0
159,Hasbro,Equipment,Five Stars ,0.0,0.0,1.0,0.0
160,Hasbro,Equipment,Revenge Of The Reissue ,-0.5267,0.0,0.469,0.531
161,Star Wars,Equipment,Five Stars ,0.0,0.0,1.0,0.0
162,Schleich,Toy,Very cute little male elf ,0.5095,0.452,0.548,0.0
163,Star Wars,Equipment,Excellent ,0.5719,1.0,0.0,0.0
164,Star Wars,Equipment,Great item ,0.6249,0.804,0.196,0.0
165,Star Wars,Toy,Five Stars ,0.0,0.0,1.0,0.0
166,Mattel,Toy,Happy with product ,0.5719,0.649,0.351,0.0
167,Star Wars,Equipment,"Sexy, fast and smart. ",0.7269,0.753,0.247,0.0
168,Star Wars,Equipment,my sad sad collection ,-0.7351,0.0,0.244,0.756
169,Hasbro,Equipment,starwars ,0.0,0.0,1.0,0.0
170,Hasbro,Equipment,Problems with Falcon ,-0.4019,0.0,0.426,0.574
171,Hasbro,Equipment,"""Set your weapons for stun."" ",-0.4404,0.0,0.58,0.42
172,Star Wars,Equipment,Jango Fett Figure ,0.0,0.0,1.0,0.0
173,Hasbro,Equipment,"""Stop Grievous!"" ",-0.3595,0.0,0.286,0.714
174,Hasbro,Equipment,and can now combine figures from the different Staw Wars trilogies and is delighted. ,-0.0772,0.175,0.635,0.19
175,Mattel,Toy,Great figure. ,0.6249,0.804,0.196,0.0
176,Star Wars,Equipment,Jabba no Bagga ,-0.296,0.0,0.476,0.524
177,Star Wars,Equipment,Good job guys ,0.4404,0.592,0.408,0.0
178,Star Wars,Equipment,TVC Grand Moff Tarkin ,0.4588,0.5,0.5,0.0
179,LEGO,Toy,Great Product !! ,0.6892,0.701,0.299,0.0
180,Schleich,Toy,Simply adorable ,0.4939,0.762,0.238,0.0
181,Star Wars,Equipment,Five Stars ,0.0,0.0,1.0,0.0
182,Hasbro,Equipment,great toy ,0.6249,0.804,0.196,0.0
183,Star Wars,Equipment,Four Stars ,0.0,0.0,1.0,0.0
184,Mattel,Toy,Batcave review ,0.0,0.0,1.0,0.0
185,Hasbro,Equipment,"""Send in the clones."" ",0.0,0.0,1.0,0.0
186,Star Wars,Equipment,Great gift! ,0.807,1.0,0.0,0.0
187,Hasbro,Equipment,Daughter loves it ,0.5719,0.649,0.351,0.0
188,Playmobil,Toy,good buy ,0.4404,0.744,0.256,0.0
189,LEGO,Toy,Poor value foe money ,-0.5574,0.255,0.106,0.638
190,Schleich,Toy,She seems to love it and plays with it a lot ,0.7351,0.437,0.563,0.0
191,Schleich,Toy,Good figure ,0.4404,0.744,0.256,0.0
192,Hasbro,Toy,Good ,0.4404,1.0,0.0,0.0
193,Hasbro,Toy,Sprially Fun ,0.5106,0.767,0.233,0.0
194,Playmobil,Toy,Super Playmobil Set ,0.5994,0.661,0.339,0.0
195,Hasbro,Toy,Good pistol. ,0.4404,0.744,0.256,0.0
196,Disney,Equipment,Fun swim ring ,0.5106,0.623,0.377,0.0
197,Hasbro,Toy,alpha trooper c s -12 nerf gun ,-0.34,0.0,0.625,0.375
198,Disney,Equipment,Basic paddling pool. ,0.0,0.0,1.0,0.0
199,Hasbro,Toy,Five Stars ,0.0,0.0,1.0,0.0
200,Disney,Equipment,Four Stars ,0.0,0.0,1.0,0.0
201,Disney,Equipment,brill armbands ,0.0,0.0,1.0,0.0
202,Hasbro,Toy,Great but can be bought for less elsewhere. ,0.3716,0.267,0.733,0.0
203,Mattel,Toy,Not worth the money! ,-0.2401,0.0,0.605,0.395
204,Disney,Equipment,fantastic ,0.5574,1.0,0.0,0.0
205,Disney,Equipment,lovely item ,0.5859,0.792,0.208,0.0
206,Disney,Equipment,Great for the kids ,0.6249,0.577,0.423,0.0
207,Disney,Equipment,Great ,0.6249,1.0,0.0,0.0
208,Scalextric,Toy,Five Stars ,0.0,0.0,1.0,0.0
209,Scalextric,Toy,Fantastic Scalextric addon ,0.5574,0.643,0.357,0.0
210,Scalextric,Toy,Great set ,0.6249,0.804,0.196,0.0
211,Scalextric,Toy,Not as simple as it looks ,0.0,0.0,1.0,0.0
212,Scalextric,Toy,Hornby Track supports ,0.3612,0.556,0.444,0.0
213,Mattel,Equipment,Five Stars ,0.0,0.0,1.0,0.0
214,Scalextric,Toy,This track was just what my son needed to finish ... ,0.0,0.0,1.0,0.0
215,Scalextric,Toy,starter track for great grandson ,0.6249,0.506,0.494,0.0
216,Mattel,Toy,Great fun more like classic Hot Wheels ,0.8805,0.718,0.282,0.0
217,Mattel,Toy,Five Stars ,0.0,0.0,1.0,0.0
218,Scalextric,Toy,Scalextric for the digital age. ,0.0,0.0,1.0,0.0
219,Scalextric,Toy,Scalextric Jump Pack ,0.0,0.0,1.0,0.0
220,Mattel,Toy,its ok ,0.296,0.688,0.312,0.0
221,Scalextric,Toy,Scalextric accessories ,0.0,0.0,1.0,0.0
222,Scalextric,Toy,Hand throttles ,0.4939,0.762,0.238,0.0
223,Scalextric,Toy,Pit Lane Game ,0.0,0.0,1.0,0.0
224,Scalextric,Toy,SCALEXTRIX ,0.0,0.0,1.0,0.0
225,Scalextric,Toy,OK for multi lane tracks ,0.4466,0.423,0.577,0.0
226,Scalextric,Toy,Fantastic ,0.5574,1.0,0.0,0.0
227,Scalextric,Toy,Expensive for what it offers ,0.0,0.0,1.0,0.0
228,Scalextric,Toy,Good fun to be had ,0.7351,0.674,0.326,0.0
229,Scalextric,Toy,Five Stars ,0.0,0.0,1.0,0.0
230,Scalextric,Toy,Not Great ,-0.5096,0.0,0.233,0.767
231,Scalextric,Toy,works perfectly and looks great. ,0.8519,0.735,0.265,0.0
232,Scalextric,Toy,Not experienced any issues and fitted to F1 model which has now provided many hours and laps of fun on digital track ,0.5106,0.136,0.864,0.0
233,Mattel,Toy,Five Stars ,0.0,0.0,1.0,0.0
234,Scalextric,Toy,Five Stars ,0.0,0.0,1.0,0.0
235,Scalextric,Toy,Bought this car and love it. Takes a little practice But isn't that a big part of Scalextric that you need to practice to get go ,0.6369,0.154,0.846,0.0
236,Scalextric,Toy,Goes round the hairpin bend very fast ,0.0,0.0,1.0,0.0
237,Mattel,Equipment,Five Stars ,0.0,0.0,1.0,0.0
238,Scalextric,Toy,tougher cars ,0.1779,0.63,0.37,0.0
239,Scalextric,Toy,Great quality! slight issue with staying on track though. ,0.6588,0.354,0.646,0.0
240,Scalextric,Toy,"Spoil the ship for a ha,porth of tar,in reverse. ",0.0,0.0,1.0,0.0
241,Scalextric,Toy,Scalextric car ,0.0,0.0,1.0,0.0
242,Scalextric,Toy,Five Stars ,0.0,0.0,1.0,0.0
243,Scalextric,Toy,s scalextrics he loved ,0.5994,0.661,0.339,0.0
244,Scalextric,Toy,Amazingly Fast!!! ,0.0,0.0,1.0,0.0
245,Scalextric,Toy,Five Stars ,0.0,0.0,1.0,0.0
246,Scalextric,Toy,Five Stars ,0.0,0.0,1.0,0.0
247,Scalextric,Toy,Five Stars ,0.0,0.0,1.0,0.0
248,Scalextric,Toy,Annoyingly you only get one guide but multiple plates. ... ,0.0,0.0,1.0,0.0
249,Mattel,Toy,"looked great, very good quality ",0.807,0.709,0.291,0.0
250,Scalextric,Toy,Additional info ,0.0,0.0,1.0,0.0
251,Scalextric,Toy,Nice & good detailed model! ,0.7177,0.75,0.25,0.0
252,Scalextric,Toy,Arrived on time Aston perfect model and stays on track if you want a ... ,0.6124,0.294,0.706,0.0
253,Scalextric,Toy,"Lovely car, great detail ",0.836,0.798,0.202,0.0
254,Scalextric,Toy,Must have for digital conversion of non DPR cars ,0.0,0.0,1.0,0.0
255,Scalextric,Toy,Not a brilliant Scalextric car ,-0.4717,0.0,0.494,0.506
256,Scalextric,Toy,Five Stars ,0.0,0.0,1.0,0.0
257,Scalextric,Toy,Great track holding car ,0.6249,0.577,0.423,0.0
258,Scalextric,Toy,Everything comes to he who waits. ,0.0,0.0,1.0,0.0
259,Scalextric,Toy,Great quality! slight issue with staying on track though. ,0.6588,0.354,0.646,0.0
260,Scalextric,Toy,Five Stars ,0.0,0.0,1.0,0.0
261,Scalextric,Toy,great car ,0.6249,0.804,0.196,0.0
262,Disney,Equipment,Fantastic!! ,0.6351,1.0,0.0,0.0
263,Scalextric,Toy,Perfect! ,0.6114,1.0,0.0,0.0
264,Scalextric,Toy,Very robust ,0.4005,0.729,0.271,0.0
265,Scalextric,Toy,Brilliant product ,0.5859,0.792,0.208,0.0
266,Scalextric,Toy,magic metro ,0.0,0.0,1.0,0.0
267,Scalextric,Toy,Brilliant ,0.5859,1.0,0.0,0.0
268,Scalextric,Toy,Good fun for the kids ,0.7351,0.674,0.326,0.0
269,Scalextric,Toy,As described. Well fixed wings but likely to be ... ,0.1406,0.147,0.853,0.0
270,Scalextric,Toy,Really Cool Racer ,0.3804,0.565,0.435,0.0
271,Scalextric,Toy,Awesome Purple Scalextric GT Lightning Slot Car ,0.7865,0.581,0.419,0.0
272,Scalextric,Toy,Necessary for all Scalextric cars to run on digital layouts. ,0.0,0.0,1.0,0.0
273,Scalextric,Toy,Lotus Gold Leaf ,0.0,0.0,1.0,0.0
274,Scalextric,Toy,Very handy ,0.0,0.0,1.0,0.0
275,Mattel,Toy,Four Stars ,0.0,0.0,1.0,0.0
276,Scalextric,Toy,Scalextric Lightning Slot Car ,0.0,0.0,1.0,0.0
277,Scalextric,Toy,Beware of low bridges ,-0.2732,0.0,0.588,0.412
278,Scalextric,Toy,Five Stars ,0.0,0.0,1.0,0.0
279,Scalextric,Toy,Drifts a bit too much ,0.0,0.0,1.0,0.0
280,Disney,Equipment,Wonderful car for little boys. ,0.5719,0.481,0.519,0.0
281,Scalextric,Toy,Four Stars ,0.0,0.0,1.0,0.0
282,Scalextric,Toy,Five Stars ,0.0,0.0,1.0,0.0
283,Scalextric,Toy,Essential spares ,0.0,0.0,1.0,0.0
284,Scalextric,Toy,Five Stars ,0.0,0.0,1.0,0.0
285,Scalextric,Toy,Hot Car ,0.0,0.0,1.0,0.0
286,Scalextric,Toy,Does what it says on the pack ,0.0,0.0,1.0,0.0
287,Disney,Equipment,Kaching!  Great toy. ,0.6588,0.687,0.313,0.0
288,Scalextric,Toy,Five Stars ,0.0,0.0,1.0,0.0
289,Scalextric,Toy,Five Stars ,0.0,0.0,1.0,0.0
290,Scalextric,Toy,Excellent Quality car at a good price ,0.765,0.623,0.377,0.0
291,Scalextric,Toy,Nice detail. Nice balance with motor towards front and ... ,0.6808,0.412,0.588,0.0
292,Scalextric,Toy,Great cars ,0.6249,0.804,0.196,0.0
293,Disney,Equipment,Five Stars ,0.0,0.0,1.0,0.0
294,LEGO,Equipment,Brilliant ,0.5859,1.0,0.0,0.0
295,LEGO,Toy,Hive crawler ,0.0,0.0,1.0,0.0
296,Star Wars,Equipment,"Fridge Magnets, but not as we know it! ",0.0,0.0,1.0,0.0
297,Star Wars,Equipment,Five Stars ,0.0,0.0,1.0,0.0
298,Disney,Equipment,Fit for purpose ,0.3612,0.556,0.444,0.0
299,LEGO,Equipment,excellent addition to the Friends Animals series ,0.7783,0.576,0.424,0.0
300,Disney,Equipment,Sarge would be proud! ,0.5255,0.531,0.469,0.0
301,Disney,Equipment,Fantastic fun! ,0.8016,1.0,0.0,0.0
302,Star Wars,Equipment,Emperor Palpatines shuttle 8096 ,0.0,0.0,1.0,0.0
303,LEGO,Equipment,Sweet little light ,0.4588,0.6,0.4,0.0
304,Playmobil,Toy,Five Stars ,0.0,0.0,1.0,0.0
305,LEGO,Equipment,It's just 20 light sabers ,0.0,0.0,1.0,0.0
306,Star Wars,Equipment,Four Stars ,0.0,0.0,1.0,0.0
307,LEGO,Equipment,lego star wars ,-0.5574,0.0,0.357,0.643
308,Star Wars,Equipment,great model ,0.6249,0.804,0.196,0.0
309,LEGO,Toy,Five Stars ,0.0,0.0,1.0,0.0
310,LEGO,Toy,Very nice set ,0.4754,0.607,0.393,0.0
311,LEGO,Equipment,amazing.. ,0.0,0.0,1.0,0.0
312,Star Wars,Equipment,Like many fans I couldn't wait to see what the ... ,0.3612,0.217,0.783,0.0
313,LEGO,Equipment,Five Stars ,0.0,0.0,1.0,0.0
314,LEGO,Toy,Great! ,0.6588,1.0,0.0,0.0
315,LEGO,Equipment,Great set for the money ,0.6249,0.506,0.494,0.0
316,Star Wars,Equipment,Get Ready For Battle ,-0.0258,0.352,0.282,0.366
317,LEGO,Equipment,podracers riview ,0.0,0.0,1.0,0.0
318,Star Wars,Equipment,My son loved this - it is a great vehicle ,0.8402,0.571,0.429,0.0
319,LEGO,Equipment,A new Tie fighter that looks like it emerged from the â‚¬Å“Dark Sideâ‚¬ï¿½ ,0.4767,0.291,0.709,0.0
320,LEGO,Equipment,It's wonderful! ,0.6114,0.8,0.2,0.0
321,LEGO,Toy,Great ,0.6249,1.0,0.0,0.0
322,Disney,Equipment,Both son's enjoyed this... ,0.5106,0.524,0.476,0.0
323,PokÃƒÂ©mon,Toy,Five Stars ,0.0,0.0,1.0,0.0
324,PokÃƒÂ©mon,Toy,Five Stars ,0.0,0.0,1.0,0.0
325,PokÃƒÂ©mon,Toy,Five Stars ,0.0,0.0,1.0,0.0
326,PokÃƒÂ©mon,Toy,Awesome ,0.6249,1.0,0.0,0.0
327,PokÃƒÂ©mon,Toy,Four Stars ,0.0,0.0,1.0,0.0
328,PokÃƒÂ©mon,Toy,Primal Clash ,0.0,0.0,1.0,0.0
329,PokÃƒÂ©mon,Toy,This card needs no introduction ,-0.296,0.0,0.645,0.355
330,PokÃƒÂ©mon,Toy,A***** ,0.0,0.0,1.0,0.0
331,PokÃƒÂ©mon,Toy,Good For The Price! ,0.4926,0.516,0.484,0.0
332,PokÃƒÂ©mon,Toy,... just gotten into these things - there is a good mix of cards (though 2 rapidash's ,0.4404,0.182,0.818,0.0
333,PokÃƒÂ©mon,Toy,A Good Buy for Children Who Like Pokemon..... ,0.6597,0.519,0.481,0.0
334,PokÃƒÂ©mon,Toy,I do recommend this I got great pulls ,0.765,0.623,0.377,0.0
335,PokÃƒÂ©mon,Toy,Decent Buy ,0.0,0.0,1.0,0.0
336,PokÃƒÂ©mon,Toy,Good looking tin though ,0.4404,0.492,0.508,0.0
337,PokÃƒÂ©mon,Toy,Legit cards for a good price ,0.4404,0.42,0.58,0.0
338,PokÃƒÂ©mon,Toy,annebar ,0.0,0.0,1.0,0.0
339,PokÃƒÂ©mon,Toy,Awesome ,0.6249,1.0,0.0,0.0
340,PokÃƒÂ©mon,Toy,Brilliant box ,0.5859,0.792,0.208,0.0
341,PokÃƒÂ©mon,Toy,Five Stars ,0.0,0.0,1.0,0.0
342,PokÃƒÂ©mon,Toy,A Nice Little Subset. ,0.4215,0.583,0.417,0.0
343,PokÃƒÂ©mon,Toy,Best Purchase I Have Ever Made ,0.6369,0.512,0.488,0.0
344,PokÃƒÂ©mon,Toy,Good for Beginners! ,0.4926,0.615,0.385,0.0
345,PokÃƒÂ©mon,Toy,Keldeo tin ,0.0,0.0,1.0,0.0
346,Star Wars,Toy,My 8yr old son is over the moon with this.  Super fast delivery * ,0.6833,0.278,0.722,0.0
347,PokÃƒÂ©mon,Toy,Great Deck ,0.6249,0.804,0.196,0.0
348,PokÃƒÂ©mon,Toy,Great price ,0.6249,0.804,0.196,0.0
